Printing (some) relocations for /bin/ls

SHdr:{name=.rela.plt, sh_name=0x87, sh_type=SHT_RELA, sh_flags=0x42, sh_addr=0x2cb8, sh_offset=0x2cb8, sh_size=0x9f0, sh_link=0x6, sh_info=0x19, sh_addralign=0x8, sh_entsize=0x18}

Relocations:
 [  0] Rela:{r_offset=0x22c70, r_info=0x100000007, r_addend=0x0, r_sym=0x1, r_type=0x7}
 [  1] Rela:{r_offset=0x22c78, r_info=0x200000007, r_addend=0x0, r_sym=0x2, r_type=0x7}
 [  2] Rela:{r_offset=0x22c80, r_info=0x300000007, r_addend=0x0, r_sym=0x3, r_type=0x7}
 [  3] Rela:{r_offset=0x22c88, r_info=0x400000007, r_addend=0x0, r_sym=0x4, r_type=0x7}
 [  4] Rela:{r_offset=0x22c90, r_info=0x500000007, r_addend=0x0, r_sym=0x5, r_type=0x7}
 [  5] Rela:{r_offset=0x22c98, r_info=0x600000007, r_addend=0x0, r_sym=0x6, r_type=0x7}
 [  6] Rela:{r_offset=0x22ca0, r_info=0x700000007, r_addend=0x0, r_sym=0x7, r_type=0x7}
 [  7] Rela:{r_offset=0x22ca8, r_info=0x800000007, r_addend=0x0, r_sym=0x8, r_type=0x7}
 [  8] Rela:{r_offset=0x22cb0, r_info=0xa00000007, r_addend=0x0, r_sym=0xa, r_type=0x7}
 [  9] Rela:{r_offset=0x22cb8, r_info=0xb00000007, r_addend=0x0, r_sym=0xb, r_type=0x7}
 [ 10] Rela:{r_offset=0x22cc0, r_info=0xc00000007, r_addend=0x0, r_sym=0xc, r_type=0x7}
 [ 11] Rela:{r_offset=0x22cc8, r_info=0xd00000007, r_addend=0x0, r_sym=0xd, r_type=0x7}
 [ 12] Rela:{r_offset=0x22cd0, r_info=0xe00000007, r_addend=0x0, r_sym=0xe, r_type=0x7}
 [ 13] Rela:{r_offset=0x22cd8, r_info=0xf00000007, r_addend=0x0, r_sym=0xf, r_type=0x7}
 [ 14] Rela:{r_offset=0x22ce0, r_info=0x1000000007, r_addend=0x0, r_sym=0x10, r_type=0x7}
 [ 15] Rela:{r_offset=0x22ce8, r_info=0x1100000007, r_addend=0x0, r_sym=0x11, r_type=0x7}
 [ 16] Rela:{r_offset=0x22cf0, r_info=0x1200000007, r_addend=0x0, r_sym=0x12, r_type=0x7}
