Printing dynamic symbols for /bin/ls

SHdr:{name=.dynsym, sh_name=0x51, sh_type=SHT_DYNSYM, sh_flags=0x2, sh_addr=0x488, sh_offset=0x488, sh_size=0xd08, sh_link=0x7, sh_info=0x1, sh_addralign=0x8, sh_entsize=0x18}

Symbols:
 [  0] Sym:{name=undefined, st_name=0x0, st_info=0x0, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_NOTYPE, st_bind=STB_LOCAL}
 [  1] Sym:{name=__ctype_toupper_loc, st_name=0x41a, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  2] Sym:{name=getenv, st_name=0x2ca, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  3] Sym:{name=sigprocmask, st_name=0x130, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  4] Sym:{name=__snprintf_chk, st_name=0x330, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  5] Sym:{name=raise, st_name=0x294, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  6] Sym:{name=abort, st_name=0x167, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  7] Sym:{name=__errno_location, st_name=0x208, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  8] Sym:{name=strncmp, st_name=0xc6, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [  9] Sym:{name=_ITM_deregisterTMCloneTable, st_name=0x11, st_info=0x20, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_NOTYPE, st_bind=STB_WEAK}
 [ 10] Sym:{name=localtime_r, st_name=0x1a9, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
